text,label
ممكن اطلب بيتزا خضروات منغير بصل,X X ItemName ItemName Exclude Topping_Exclude
خدمه العملاء,X X
احتاج الى تبديل لغة التواصل,X X X X X
اريد التحدث بالانجليزية,X X Language
بدي ضيف عنواني عندكن بالمطعم,X X X X X
كنت عايزة قائمة تعديل البيانات من فضلك,X X X X X X X
حابب اشوف اوردراتي المسجلة,X X X X
ابا اتحدث انقليزي,X X Language
تتعاملون بشبكات ولا لازم دفع نقدي,X X X X X X
ابغى منيو الوجبات العائلية ببيتزا هت,X X X X X X
اين وجبتي المفضلة,X X X
عايز ارجع للقائمة الرئيسية,X X X X
عايز 3 بيتزا بيبروني حجم كبير,X itemnumber ItemName ItemName X ItemSize
اريد تتبع الطلبات,X X X
راح خبرك شو صايرلي,X X X X
ممكن اتابع الأكل الي طلبته من شوية,X X X X X X X
عايزة اشوف الأكل المسجل من قبل,X X X X X X
اعرض لي الاوردرات السابقة,X X X X
عايز اتابع اوردر 54548,X X X OrderNumber
كنت عايز اسوف اوردري المفضل,X X X X X
الاكل هيوصل في خلال قد ايه,X X X X X X
عايزة اغير العنوان,X X X
اقدر اسأل على حاجة,X X X X
راح اطلب وجبة البيج ماك,X X ItemName ItemName ItemName
بدي شوف الكارت تبعي,X X X X
عايزة اشيل عنوان البيت,X X X X
رفيع,X
ازاي بسجل رقم الموبايل,X X X X
قد ايه السعر,X X X
عايزة اشوف الكارت بتاعي لو سمحت,X X X X X X
بدياك تزودني بالشيك بليز,X X X X
ابكم الحساب,X X
كنت عايز اغير العنوان بتاعي,X X X X X
اذا بتريد فيك تساعدني,X X X X
وريلي المنيو الرئيسي,X X X
ضيف الاختيار التاني,Include X X
ابغا اراجع الطلبات حقى,X X X X
هاعدل بياناتي المسجلة,X X X
هاخد الاختيار التاني,Include X X
غيرت نمرتي,X X
لو سمحت تبعتلي الحساب,X X X X
اطلبلي 2 بولونيز باستا منغير ماشروم,X itemnumber ItemName ItemName Exclude Topping_Exclude
ممكن تبعتلي قائمة المعجنات,X X X MenuName
هادخل عنوان بيتي,X X X
اذا بدك تساعدني بشي,X X X X
فيني اعرف قديش فاضل وقت,X X X X X
احضر لي طبق مكرونة مع الماشروم,X X ItemName ItemName Include Topping_Include
لك شو بدي اعمل الحين,X X X X X
عايز اتحدث بلغة اخرى,X X X X
عايز اشيك على الطلبات,X X X X
ممكن اشوف الاكل المفضل,X X X X
خلينى اكلم حد انسان,X X X X
عايز اشوف المنيو,X X X
اتوق لمعرفه مكان الطلبات اللى انا طلبتها,X X X X X X X
ابعتلي الحساب,X X
الاوردر فين دلوقتي,X X X
ابي حجمها وسط,X X ItemSize
ممكن امسح عنواني,X X X
بديانى اتتبع الاوردر رقم 8675,X X X X OrderNumber
عايزة القايمة الرئيسية,X X X
عايزة احدث عنوان البيت,X X X X
عايز اخد بيتزا بيبروني وسط,X X ItemName ItemName ItemSize
شو الحين,X X
اريد اضيف عنوان الدوام لتوصيل الاوردر,X X X X X X
وين الاوردر تبعي الحين,X X X X
ممكن اغير عنوانى,X X X
بدي اياك ترسلي ملخص الطلب,X X X X X
بدي اطلع بالكارت,X X X
اتحدث بالعربية,X Language
ممكن اسجل عنوان البيت عندكوا,X X X X X
فرجيني الاوردرات السابقة بليز,X X X X
عايز اخد بيتزا بيبروني وسط,X X ItemName ItemName ItemSize
بدي مساعدة يا اخي,X X X X
هاتلي الاولى,Include X
ودى التكلم مع انسان,X X X X
افتح القايمة الرئيسية,X X X
رانش صوص,ItemName ItemName
خليني اتواصل مع شخص,X X X X
راح اطلب 3 صمونات دياي وسط,X X itemnumber ItemName ItemName ItemSize
عايز اطلب وجبة البيج تيستي,X X ItemName ItemName ItemName
2 ارز بخاري مع صلصة دقوس,itemnumber ItemName ItemName Include Topping_Include Topping_Include
بديانى احول رقم هاتفى للرقم 85034304,X X X X X phone
راح ادخل رقم هاتفي الجديد,X X X X X
عايزة انتقل للمرحلة التالية من فضلك,X X X X X X
عايز ابدل عنوان سكني,X X X X
بدي سوي فاتورتي,X X X
وين صار الاوردر,X X X
غير من اجلى رقم الهاتف القديم للرقم 9875645,X X X X X X X phone
شو عامل,X X
كنت عايزة اراجع الاوردر لو سمحت,X X X X X X
هستلم الاوردر امتى,X X X
فيه حاجة عايزة استفسر عنها,X X X X X
بدياك تفرجيني طعامي المفضل,X X X X
فيني شوف منيو الاطباق الجانبية,X X X MenuName MenuName
شحو ؤقم جوالي الجديد,X X X X
ابا شوف الاكل يلي طلبتوا من قبل,X X X X X X X
ابغى معرفه مكان الاوردر تحديدا,X X X X X
اعرض لي القائمة المفضلة لو سمحت,X X X X X X
اقدر اشوف منيو البيتزا,X X X MenuName
عايزة احط عنواني,X X X
خليني امسح وجبة الفراخ المكسيكية,X X ItemName ItemName ItemName
ممكن امسح العنوان,X X X
ممكن توريني منيو المقبلات في ستيك اوت,X X X X X X X
عايزة اشوف الطلبات من الأول,X X X X X
ايه الي بعد المرحلة دي,X X X X X
هل بامكاني التحدث مع انسان,X X X X X
بدي سجل عنوان البيت الحين,X X X X X
العنوان لا الي بدي ضيفه,X X X X X
سجل لي العنوان ده,X X X X
مرحبا يا زلمة,X X X
راجع الطلبات لو سمحت,X X X X
هختار صوص البلونيز,Include ItemName ItemName
ممكن اشوف الاوردر من جديد,X X X X X
اذهب للصفحة الرئيسية,X X X
اعرضلي المنيو الاساسي من فضلك,X X X X X
ورينى اكتر حاجه بحبها,X X X X
بدى اطلع على اوردرى السابق بعنوان 3465,X X X X X X OrderNumber
اقدر امسح العنوان,X X X
صباح الخيرات,X X
بدي اعطيك محل اقامتي,X X X X
عايزة اغير لغة التواصل,X X X X
ممكن أطلب زى الطلب اللى فات برقم 584,X X X X X X X OrderNumber
ممكن اضيف عنوان منزلي,X X X X
نراجع الاوردر,X X
هستلم الاوردر كمان قد ايه,X X X X X
كان بدي اسجل عنواني,X X X X
عايزة اعدل العنوان,X X X
داير اعدل العنوان,X X X
ضيف للأوردر 2 شوربة خضار,X X itemnumber ItemName ItemName
ممكن ابدل عنواني,X X X
فيني اطلع على الكارت,X X X X
محتاج ادخل الرقم الجديد بتاعى,X X X X X
من فضلك ابعتلي الفاتورة,X X X X
ضيفلي على الاوردر 3 باكت بطاطس,X X X itemnumber ItemName ItemName
ممكن تبعتلي الاوردر من الاول,X X X X X
عندى مشاكل مع الاوردر رقم 201502,X X X X X OrderNumber
وش سوي الخطوة الجاية,X X X X
اهلا وسهلا,X X
اريد معرفة كيفية تسجيل البيانات,X X X X X
عايزة اشوف الاوردرات السابقة,X X X X
بدي طاجن سجق دبس رمان,X X ItemName ItemName ItemName
بدي بلش تابع الاوردر,X X X X
شو يلي بعد هيك,X X X X
تحيات,X
داير فى خاطرى تغيير رقم الهاتف حقى,X X X X X X X
كان بدي اضيف الهابي ميل,X X X ItemName ItemName
ابغى اغير رقم الموبايل حجي,X X X X X
اعرض لي المنيو,X X X
بدي انتقل للخطوة التالية,X X X X
ابغاالتكلم مع شخص بيفهم عليا,X X X X X
عمو,X
عايز اراجع على الحاجات الي طلبتها,X X X X X X
فيك تعرضلي منيو المشروبات في ليليز,X X X X X X
ابي شوف الأكل,X X X
ادخل عنواني ازاي,X X X
الاوردر رقم 20975 بقاله ساعتين موصلش ايه السبب,X X OrderNumber X X X X X
عايز اتواصل مع ممثل خدمة عملاء,X X X X X X
مدري كيف بسوي الاوردر,X X X X
بدي عدل رقم الموبايل تبعي للرقم 0000112512,X X X X X X phone
فيني روح على قائمة تغيير البيانات,X X X X X X
هلا,X
وينوا الاكل,X X
ابي غير العنوان دحين,X X X X
زود وجبة البيج ماك,X ItemName ItemName ItemName
اقدر اشوف الطلبات السابقة,X X X X
داير راجع عالطلبات,X X X
من غير بصل,Exclude Exclude Topping_Exclude
يلي بعد هادي الخطوة,X X X X
فيك تغيرلي عنوان المنزل,X X X X
هدي العنوان,X X
وش بدي سوي,X X X
ابغى احاسب الحين,X X X
تابعلي الاوردر 56358,X X OrderNumber
فيني اذهب للخطوة يلي بعد هيك,X X X X X X
انا عايزة اعرف اعمل اوردر ازاي,X X X X X X
عايز بيبيروني بيتزا لارج,X ItemName MenuName ItemSize
3 تشيكن سيزر سالاد لو سمحت,itemnumber ItemName ItemName ItemName X X
بدياك تفرجينى الفاتوره,X X X
بدي الحجم الصغير بليز,X X ItemSize X
بتقدر توصلنى مع ممثل خدمه العملاء,X X X X X X
عايز اشوف الاوردر المفضل,X X X X
اعرضلي المنيو الاساسي من فضلك,X X X X X
ابغى تعدلى رقم جوالى اللى متسجل عندكو للرقم دا 0125265884,X X X X X X X X X phone
فيني شوف منيو المشروبات,X X X MenuName
واحدة تشيكن رانش,itemnumber PredefinedMealName PredefinedMealName
ممكن اشوف اوردراتي الي قبل كدا,X X X X X X
بدي احذف الماك دينار,X X ItemName ItemName
ممكن تضيفلي وجبة تشيكن رويال,X X ItemName ItemName ItemName
الحساب حضرتك,X X
ليش ما ايجى الطلب بتاعى للان,X X X X X X
خاطرلى التحدث مع شخص من خدمه العملاء,X X X X X X X
داير ابدل العنوان,X X X
ابا غير رقمي,X X X
رجعني لقائمة تغيير البيانات,X X X X
لدي عنوان جديد,X X X
كام المبلغ المطلوب,X X X
لك ها,X X
شكو ماكو,X X
ممثلى الخدمه,X X
وش سوي الحين,X X X
اذا فيك تذهب للخطوة التالية,X X X X X
فيك تزودني بالطلبات المفضلة حجي,X X X X X
اذا ما عليك امر بغيت اعدل رقم الهاتف,X X X X X X X X
بدي اعرف شو الوجبات الموجودة بمطعم ستيك أوت,X X X X X X X X
اعرض لي طعامي المفضل اذا بتريد,X X X X X X
بلكي استفسر عن شي شغلة,X X X X X
فيني ارجع شوف المنيو مرة اخرى,X X X X X X
سويلي 2 طبق باستا لو سمحت,X itemnumber X ItemName X X
ممكن اشوف طلبي المعتاد,X X X X
داير بدل رقم الجوال 01225899655,X X X X phone
محتاج اراجع الاوردر معكم,X X X X
كنت عايز اسال عن حاجة,X X X X X
هدي رقم الجوال حجي,X X X X
فيني حدد عنوان البيت,X X X X
عمي,X
عايز 3 تشيزكيك مادنيس,X itemnumber ItemName ItemName
شو يلي عندكن بالأطباق الرئيسية,X X X X X
اسجل عنواني ازاي,X X X
راح ارسلكن محلي الجديد,X X X X
منفضلك غير لى مكان بيتى,X X X X X
31423 فاضله قد ايه,OrderNumber X X X
ارغب في حذف العنوان,X X X X
هلا بك,X X
حابب اسال على حاجة,X X X X
هلأ اذا بدي ضيف رقم تاني شو بدي اعمول,X X X X X X X X X
ممكن تعطينياه حجم كبير,X X X ItemSize
فيني الغي عنواني المسجل,X X X X
عايز اشوف الأول منيو المقبلات,X X X X MenuName
كنت عايز اتواصل باللغة العربية,X X X X Language
ابي شوف الكارت حجي,X X X X
الاوردر اتأخر,X X
ممكن احذف عنوان البيت,X X X X
شو المرحلة التالية,X X X
اعرضلي الاوردرت السابقة,X X X
ابغا الفاتوره اذا شمحت,X X X X
ابعتلي منيو الاطباق الرئيسية,X X MenuName MenuName
وريني الطلبية بتاعتي,X X X
حابب ابدل اللغه الى الانجليزيه,X X X X Language
شنو يعني هاي بالعربي,X X X Language
هاخد طلب مكرونة بالصوص الابيض مع بطاطس,X ItemName ItemName ItemName X Include Topping_Include
بين لى اكثر ما احب,X X X X X
خبرني كيف بسوي الأوردر,X X X X
عايز اطلب حاجة اشربها الاول,X X X X X
عايز اغير العنوان,X X X
بلغني بحساب الاكل من فضلك,X X X X X
عايز اضيف عنوان بيتي,X X X X
عايزة اشوف الطلبات تاني لو سمحت,X X X X X X
لقد انتهيت,X X
ابغى اتطلع على طلباتي السابقة,X X X X X
عايز اشوف الاوردرات الي بطلبها على طول,X X X X X X X
عايزة وجبة بيج تيستي,X ItemName ItemName ItemName
اريد اغير اللغة طال عمرك,X X X X X
عايز اكتب عنوان البيت لو سمحت,X X X X X X
اريد ترسلي تفاصيل الاوردر مالي,X X X X X
عايزة اضيف محل الاقامة الجديد,X X X X X
انا كدا خلصت و عايز الحساب من فضلك,X X X X X X X X
عايزة الشيك لو سمحت,X X X X
ازاي بسجل عنوان البيت,X X X X
عايزة اشوف الاوردرات اللي بطلبها باستمرار,X X X X X X
ابغى اغير العنوان,X X X
هاخد 3 بيبروني بيتزا حجم كبير,X itemnumber ItemName ItemName X ItemSize
هلأ بدي احذف العنوان اذا بتريد,X X X X X X
كنت عايز اعمل تعديل في العنوان,X X X X X X
ابي شوف الاوردر حجي,X X X X
اذهب للخطوة التالية,X X X
شو بدي سوي الحين,X X X X
فيني تابع الاوردر تبعي,X X X X
كنت عايز اسجل عنوان المنزل,X X X X X
ممكن توريني الاوردر المفضل بتاعي,X X X X X
كنت عايزة احط العنوان,X X X X
وش سوي المرحلة الجاية,X X X X
الاكل بياخد وقت اد ايه,X X X X X
غيرلي العنوان المسجل,X X X
ضيفلي بالاوردر طاجن بامية,X X ItemName ItemName
عايزة الاختيار الثالث,Include X X
عايزة اشيك على الطلبات,X X X X
عندي شي استفسار,X X X
حضرولي طبق سلطة كبير منغير بصل,X X ItemName ItemSize Exclude Topping_Exclude
خليني اشوف الاوردر مرة تانية,X X X X X
الاوردر لسة ماجاليش من فضلك,X X X X X
الاختيار الثالث,X X
اطلبلي 3 بيتزا تشيكن رانش وسط,X itemnumber ItemName ItemName ItemName ItemSize
فيني اطلع عالمنيو بليز,X X X X
لو سمحت عايز احط عنوان البيت,X X X X X X
كنت عايزة اعمل تعديل في عنوان البيت,X X X X X X X
من فضلك عايز اتكلم مع ممثل خدمة عملاء,X X X X X X X X
ابغى اشوف المنيو,X X X
عطيني قائمة تغيير البيانات,X X X X
ايس كريم,X X
داير ببالى السؤال عن كذا شئ,X X X X X X
ايه السبيشل النهاردة,X X X
فيني انتقل لقائمة تغيير البيانات اذا بتريد,X X X X X X X
ابغى اجيب اكل مثل الاوردر السابق برقم 4234,X X X X X X X OrderNumber
فيك تفرجيني قائمة تغيير البيانات,X X X X X
عايز اشوف المنيو بعد اذنك,X X X X X
ابي صامونة دجاج,X ItemName ItemName
ممكن تعرضلي منيو السلطات في ماكدونالدز,X X X X X X
اشنيا احوالك,X X
الطلبات فاضلها قد ايه,X X X X
انا كدا خلصت,X X X
عايز اعرف شوية حاجات,X X X X
فيني زودكوا بعنوان المنزل,X X X X
اخوي ابي استفسر عن شي ممكن,X X X X X X
محتاج 3 بيتزا خضروات حجم متوسط,X itemnumber ItemName ItemName X ItemSize
فيك تحكي انكليزي,X X Language
هاخذ 2 بيتزا بيبروني معاها باربيكيو صوص,X itemnumber ItemName ItemName Include Topping_Include Topping_Include
لالالاقفي,X
الحين كيف بحط رقم جديد,X X X X X
هولا,X
بعد اذنك تراجع الطلبات,X X X X
شو بدنا نطلب اليوم,X X X X
بلكى بتعرفنى ايش الخطوات التى يجب عليا اتباعها لتغيير رقم هاتفى,X X X X X X X X X X X
ممكن توريني منيو فطار ماك,X X X X X
ليش كل هذا التأخير,X X X X
وريني الاكل المفضل بتاعي,X X X X
حجم متوسط,X ItemSize
هاي رقم التليفون الجديد لاالي 01147983465,X X X X X phone
عايز انهي الأوردر,X X X
فيك تغير عنوان البيت هاد,X X X X X
خليني حدد اللغة الفرنسية,X X X Language
عايز ممثل خدمة عملاء,X X X X
ودى فى بيف برجر من غير طماطم,X X ItemName ItemName Exclude Exclude Topping_Exclude
ارغب في معرفة بعض الأشياء,X X X X X
بغيت الشيك,X X
فيك تغيرلي عنوان البيت اذا بدك,X X X X X X
ممكن تغيرلى رقمى لرقم اخر وهو 9847653426,X X X X X X phone
ابي انتقل الى قائمة الأطباق الرئيسية,X X X X MenuName MenuName
خليني اغير عنواني,X X X
ابي صمونة بيف برجر بلا طماطم,X ItemName ItemName ItemName Exclude Topping_Exclude
ايه المرحلة القادمة,X X X
ابي سجل عنوان البيت,X X X X
عايزة ارسل العنوان,X X X
عايز اشيل عنوان البيت,X X X X
عايزة احذف وجبة الدويتو,X X ItemName ItemName
اذا بتسمح حولى اللغه اللى اللغه الانجليزيه,X X X X X X Language
ممكن تبعتلي المنيو,X X X
هذا عنوان جديد,X X X
لو سمحت تعرض لي القائمة الرئيسية,X X X X X X
بدي سوي update للرقم بليز,X X X X X
ممكن اخذ الشيك,X X X
ابي غير رقم الموبايل,X X X X
من فضلك تضيفلي رقم موبايلي الجديد,X X X X X X
فاين الاوردر,X X
فيني الغي العنوان القديم اذا بتريد,X X X X X X
اقدر اخد الحساب,X X X
امتى راح توصل الطلبات تبعي,X X X X X
فاضل وقت قد ايه على الأوردر,X X X X X X
ممكن اشوف القائمة المفضلة,X X X X
كام الحساب,X X
عايز اعرف ايه السلطات المتاحة,X X X MenuName X
فيك تعرض لي الطعام المفضل تبعي,X X X X X X
بدل لى عنوان المنزل القديم بالجديد,X X X X X X
اقدر اضيف وجبة الدويتو,X X ItemName ItemName
متورينى مكان الاوردر كدا,X X X X
وين الطعام,X X
اعرضلي اكلي المفضل,X X X
ابي بدل رقم الجوال حقي,X X X X X
عايزة ممثل خدمة علاء,X X X X
يعيشك بوت,X X
رايد اشوف ايه اللى انا طلبته منك,X X X X X X X
عالسلامة,X
ارغب في تعديل رقم الهاتف,X X X X X
اذا بدك تعرضلي طلبي المفضل,X X X X X
اعرضلي الاوردر كله,X X X
من بعد اذنك ارسل لي منيو البيزا,X X X X X X MenuName
موزاريلا ستيكس لو سمحت,ItemName ItemName X X
كنت عايزة اغير رقم تليفوني,X X X X X
فرجيني طلبي المفضل بليز,X X X X
ابي 3 حبات تربل بوكس,X itemnumber itemnumber PredefinedMealName PredefinedMealName
فيك تضيفلي 3 تبولة بليز,X X itemnumber ItemName X
رقم 2,X X
نعم,X
هحط عنواني,X X
حبيبي اذا ما عليك امر تعدلي ارقام جوالي,X X X X X X X X
عايزة 3 بيتزا مارجريتا معاها رانش صوص,X itemnumber ItemName ItemName Include Topping_Include Topping_Include
حابب استفسر عن اشيا,X X X X
فيك تفرجيني منيو المشويات,X X X MenuName
وريني المنيو,X X
عايز 3,X itemnumber
ممكن اضيف عنوان البيت,X X X X
ممكن اشوف الكارت بتاعي,X X X X
عايزة اغير عنوان بيتي,X X X X
ممكن اسجل عنوان بيتي,X X X X
ابي الغي هالعنوان,X X X
ابا الغي وجبة التوفير,X X ItemName ItemName
كان بدي راجع عالأوردر تبعي بليز,X X X X X X
عايز اغير رقمي,X X X
هقوللك ايه الي حصل,X X X X
عايز اعدل عنوان بيتنا,X X X X
عايز اغير اللغة,X X X
شو يلي بعد هادي الخطوة,X X X X X
فاضل قد ايه عالأوردر,X X X X
بدي قائمة المطعم الرئيسية,X X X X
اغير لغة التواصل منين,X X X X
طلب 451515 فاضله اد ايه,X OrderNumber X X X
اذا فيك تسويلي تعديل عنوان البيت,X X X X X X
عايزة احط العنوان ده,X X X X
بدى تحويل رقم هاتفى اللى عندكو للرقم 03948345,X X X X X X X phone
وش هي طريقة حذف الجوال القديم,X X X X X X
الاحداش,X
الافيك العنوان الجديد,X X X
عايز اشوف الطلبات من الأول,X X X X X
بدي شوف الاكل المفضل لا الي,X X X X X X
هستلم الأكل امتى من فضلك,X X X X X
شو بدي اعمل الحين,X X X X
سوف اقوم بتغيير رقم المحمول,X X X X X
عايز اتكلم مع انسان,X X X X
فيني اسألك عا شي,X X X X
عايز ارجع للقائمة الرئيسية,X X X X
انتهت المرحلة الحالية,X X X
كنت عايز اسجل عنواني,X X X X
رقم 12,X X
لو سمحت لو عايزة اغير نمرتي للنمرة دي 05049144444 ازاي,X X X X X X X X phone X
الذهاب الى قائمة تغيير البيانات,X X X X X
انا بدي اتحدث لحدا من خدمة العملا,X X X X X X X
خليني شوف المنيو,X X X
لو سمحت الغي الماك دينار,X X X ItemName ItemName
هدى العنوان حجي,X X X
عايز احول مكان السكن اذا مافى مشاكل,X X X X X X X
دلتلي الرقم ده 0564564545,X X X phone
ابا الاختيار الرابع,Include X X
الاوردر مجاش لحد دلوقتي,X X X X
ممكن اتحدث مع ممثل خدمه العملاء,X X X X X X
زود اخوي وجبة الدويتو,X X PredefinedMealName PredefinedMealName
اعرضلي منيو الوجبات العائلية في بيتزا هت,X X X X X X X
شلونج,X
يعطيك العافية ابغى اغير عنوان البيت,X X X X X X
هستلم الاوردر بعد قد ايه,X X X X X
عايزة ازود وجبة الدويتو,X X ItemName ItemName
ممكن ابدل العنوان,X X X
فيك تعطيني المنيو بليز,X X X X
بلكي خير موبايلي,X X X
ابعتلي المنيو من فضلك,X X X X
بدي شي اذا بتريد,X X X X
عايزة اشوف الأكل اللي بطلبه تملي,X X X X X X
عايز 4 ساندوتشات فول و زود طحينة,X itemnumber ItemName ItemName X Include Topping_Include
كنت عايز اغير عنواني,X X X X
حابب استفسر عن مشكله,X X X X
صار لي ساعه طالبه وللحين الطلب ما انرسل للمطعم,X X X X X X X X X
فينا نراجع عالأوردر الحين,X X X X
ودى استفسر عن اشياء معينه,X X X X X
ابي اختار اللغة العربية,X X X Language
تقدر تعاوني,X X
وريني الاوردرات السابقة,X X X
عندكوا مقبلات ايه,X MenuName X
فيني ضيف وجبة الميجا ماك,X X ItemName ItemName ItemName
فيك تسجلي عنوان البيت الحين,X X X X X
ممكن اضيف عنوان البيت,X X X X
محتاج 3 بيتزا خضروات حجم متوسط,X itemnumber ItemName ItemName X ItemSize
اقدر اشوف الطلبات السابقة,X X X X
بدي اتواصل مع ممثل خدمة عملاء اذا بتريد,X X X X X X X X
هيوصلي الاوردر في خلال قد ايه,X X X X X X
ابي اعرف الفاتورة كم يا خيي,X X X X X X
هاتلي الشيك,X X
هيخلص في قد ايه,X X X X
ودى اعرف ايه المشكله,X X X X
اذا فيك تساعدني,X X X
ابا شوف الاوردرات المفضلة حداي,X X X X X
زودني بالكارت حجي,X X X
عايزة امسح عنوان البيت,X X X X
ابعتلي الحساب من فضلك,X X X X
كنت عايز اضيف عنواني,X X X X
عايز خطواط اضافة عنوان البيت,X X X X X
بدي نصف فرخة مشوية مع ارز وسلطة,X itemnumber ItemName ItemName Include Topping_Include Topping_Include
لبيب يبسبسي,X X
عايز انتقل للخطوة الي بعد كدا,X X X X X X
كنت عايز اضيف عنوان منزلي,X X X X X
بليز اذا في مجال تسوي ديليت للرقم القديم,X X X X X X X X
بتقدر توصلنى مع ممثل خدمه العملاء,X X X X X X
ابي شوف الاوردر حجي,X X X X
عايزاه تورتيلا,X X
انا عايز انتقل للمرحلة التالية,X X X X X
صار لدي عنوان جديد,X X X X
فيك تعرضلي الاشيا يلي طلبتها,X X X X X
فيني احذف وجبة التشيكن ستربس,X X ItemName ItemName ItemName
ابي اسأل سؤال يا اخي,X X X X X
الثاني,X
خطر ببالى اتعرف عن شي,X X X X X
عايز ارجع لمنيو الباستا,X X X MenuName
عايزاغير عنوانى من فضلك,X X X X
اود بأن اطلب شيء من الطلبات السابقة,X X X X X X X
فيك تزودني بالمنيو من فضلك,X X X X X
بدي اعرف كيف بطلب الاوردر اذا بتريد,X X X X X X X
عايزة الغي وجبة التوفير,X X ItemName ItemName
بدي اطلع عالكارت تبعي,X X X X
بدي غير عنوان المنزل,X X X X
هاطلب حجم وسط,X X ItemSize
بدياك تفرجيني قائمة الطلبات السابقة,X X X X X
ابي وجبة دياي مكسيكية,X PredefinedMealName PredefinedMealName PredefinedMealName
احذف العنوان,X X
فرجيني الاطباق الرئيسية اذا بتريد,X MenuName MenuName X X
لو سمحت لو عايزة اغير رقمي اعمل ايه,X X X X X X X X
شو الموجود بالمنيو تبعكوا,X X X X
فيني اطلع على القائمة المفضلة تبعي,X X X X X X
زود التربل بوكس,X ItemName ItemName
بدياك تعرفنى وينه اوردرى الان,X X X X X
اعرض الاكل المفضل,X X X
ممكن تبعتلي منيو وجبات الاطفال في ماكدونالدز,X X X X X X X
ابا حدث العنوان,X X X
نحب نشوف الطلبات السابقة,X X X X
فرجيني توتال الطلبات لو تكرمت,X X X X X
احذفلي وجبة التشيكن رويال,X X ItemName ItemName
عايز استفسر عن حاجة,X X X X
هبعت محل الاقامة الجديد,X X X X
1 بيج ماك بيكون كومبو,itemnumber ItemName ItemName X ItemSize
عندي شغلة بدي اسأل فيها,X X X X X
